id,category_name,primary_segment,secondary_segments
1,Beading & Jewelry Making,DIY Crafter,"Photographer,Baby & Kids Shopper"
2,Fabric Decorating,Home Decorator,"Fashion Shopper,DIY Crafter"
3,Knitting & Crochet Supplies,Baby & Kids Shopper,"DIY Crafter,Fashion Shopper"
4,Printmaking Supplies,Photographer,"DIY Crafter,Fashion Shopper"
5,Scrapbooking & Stamping Supplies,Baby & Kids Shopper,"DIY Crafter,Photographer"
6,Sewing Products,Fashion Shopper,"DIY Crafter,Baby & Kids Shopper"
7,Craft & Hobby Fabric,DIY Crafter,"Baby & Kids Shopper,Beauty & Skincare Fan"
8,Needlework Supplies,Baby & Kids Shopper,"DIY Crafter,Fashion Shopper"
9,"Arts, Crafts & Sewing Storage",DIY Crafter,"Baby & Kids Shopper,Home Decorator"
10,"Painting, Drawing & Art Supplies",Photographer,"Beauty & Skincare Fan,Home Decorator"
11,Craft Supplies & Materials,DIY Crafter,"Baby & Kids Shopper,Home Decorator"
12,Gift Wrapping Supplies,Baby & Kids Shopper,"DIY Crafter,Electronics Enthusiast"
13,Party Decorations,Home Decorator,"Fashion Shopper,Car Enthusiast"
14,Automotive Paint & Paint Supplies,Car Enthusiast,"Beauty & Skincare Fan,Electronics Enthusiast"
15,Heavy Duty & Commercial Vehicle Equipment,Car Enthusiast,"Cyclist,Sports Enthusiast"
16,Automotive Tires & Wheels,Car Enthusiast,"Baby & Kids Shopper,Cyclist"
17,Automotive Tools & Equipment,Car Enthusiast,"Electronics Enthusiast,Baby & Kids Shopper"
18,Automotive Performance Parts & Accessories,Car Enthusiast,"Sports Enthusiast,Electronics Enthusiast"
19,Car Care,Car Enthusiast,"Beauty & Skincare Fan,Baby & Kids Shopper"
20,Oils & Fluids,Beauty & Skincare Fan,"Baby & Kids Shopper,Car Enthusiast"
21,Automotive Replacement Parts,Car Enthusiast,"Electronics Enthusiast,Cyclist"
22,"Lights, Bulbs & Indicators",Electronics Enthusiast,"Baby & Kids Shopper,Car Enthusiast"
23,Automotive Interior Accessories,Car Enthusiast,"Electronics Enthusiast,Sports Enthusiast"
24,Automotive Exterior Accessories,Car Enthusiast,"Electronics Enthusiast,Outdoor Adventurer"
25,Automotive Enthusiast Merchandise,Car Enthusiast,"Electronics Enthusiast,Sports Enthusiast"
26,Car Electronics & Accessories,Car Enthusiast,"Electronics Enthusiast,Baby & Kids Shopper"
27,RV Parts & Accessories,Car Enthusiast,"Baby & Kids Shopper,Outdoor Adventurer"
28,Motorcycle & Powersports,Sports Enthusiast,"Cyclist,Car Enthusiast"
29,Baby Diapering Products,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
30,Baby & Toddler Feeding Supplies,Baby & Kids Shopper,"Foodie,Beauty & Skincare Fan"
31,Pregnancy & Maternity Products,Baby & Kids Shopper,"Beauty & Skincare Fan,Fashion Shopper"
32,Child Safety Car Seats & Accessories,Baby & Kids Shopper,"Car Enthusiast,Fashion Shopper"
33,Baby Safety Products,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
34,Toilet Training Products,Baby & Kids Shopper,"Fitness Buff,Fashion Shopper"
35,Baby Care Products,Baby & Kids Shopper,"Beauty & Skincare Fan,Fashion Shopper"
36,Baby Travel Gear,Baby & Kids Shopper,"Traveler,Fashion Shopper"
38,Baby Activity & Entertainment Products,Baby & Kids Shopper,"Electronics Enthusiast,Sports Enthusiast"
39,Baby Gifts,Baby & Kids Shopper,"Fashion Shopper,Car Enthusiast"
40,Baby Stationery,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
41,"Nursery Furniture, Bedding & Décor",Baby & Kids Shopper,"Home Decorator,Fashion Shopper"
42,Baby,Baby & Kids Shopper,"Photographer,Traveler"
43,Baby Boys' Clothing & Shoes,Baby & Kids Shopper,"Fashion Shopper,Cyclist"
44,Baby Strollers & Accessories,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
45,Beauty & Personal Care,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
46,Perfumes & Fragrances,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
47,Hair Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
48,Makeup,Beauty & Skincare Fan,"Fashion Shopper,Photographer"
49,Skin Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
50,Beauty Tools & Accessories,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
51,"Foot, Hand & Nail Care Products",Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
52,Personal Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
53,Shaving & Hair Removal Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
54,Computer Servers,Electronics Enthusiast,"Cyclist,Gamer"
55,Data Storage,Photographer,
56,Computer Monitors,Electronics Enthusiast,"Photographer,Car Enthusiast"
57,Computers & Tablets,Electronics Enthusiast,"Baby & Kids Shopper,Photographer"
58,Tablet Replacement Parts,Electronics Enthusiast,"Baby & Kids Shopper,Car Enthusiast"
60,Computer Networking,Electronics Enthusiast,"Cyclist,Car Enthusiast"
63,Computer Components,Electronics Enthusiast,"Cyclist,Car Enthusiast"
64,Tablet Accessories,Electronics Enthusiast,"Beauty & Skincare Fan,Baby & Kids Shopper"
65,Laptop Accessories,Electronics Enthusiast,"Fashion Shopper,Car Enthusiast"
66,Computer External Components,Electronics Enthusiast,"Cyclist,Car Enthusiast"
68,Wearable Technology,Fashion Shopper,"Electronics Enthusiast,Tech Lover"
69,Televisions & Video Products,Electronics Enthusiast,"Baby & Kids Shopper,Beauty & Skincare Fan"
70,GPS & Navigation,Electronics Enthusiast,"Cyclist,Photographer"
71,Headphones & Earbuds,Electronics Enthusiast,"Baby & Kids Shopper,Sports Enthusiast"
72,Office Electronics,Electronics Enthusiast,"Car Enthusiast,Photographer"
73,Portable Audio & Video,Electronics Enthusiast,"Music Lover,Photographer"
74,eBook Readers & Accessories,Electronics Enthusiast,"Baby & Kids Shopper,Beauty & Skincare Fan"
75,Cell Phones & Accessories,Electronics Enthusiast,"Baby & Kids Shopper,Beauty & Skincare Fan"
76,Accessories & Supplies,Baby & Kids Shopper,"Beauty & Skincare Fan,Electronics Enthusiast"
77,Video Projectors,Electronics Enthusiast,"Photographer,Home Decorator"
78,Vehicle Electronics,Electronics Enthusiast,"Car Enthusiast,Sports Enthusiast"
79,Camera & Photo,Photographer,"Car Enthusiast,Beauty & Skincare Fan"
80,Security & Surveillance Equipment,Electronics Enthusiast,"Sports Enthusiast,Photographer"
81,Computers,Electronics Enthusiast,"Cyclist,Gamer"
82,Home Audio & Theater Products,Electronics Enthusiast,"Home Decorator,Music Lover"
83,Video Game Consoles & Accessories,Electronics Enthusiast,"Gamer,Baby & Kids Shopper"
84,Boys' Clothing,Baby & Kids Shopper,"Fashion Shopper,Cyclist"
87,Boys' Accessories,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
88,Boys' Jewelry,Baby & Kids Shopper,"Fashion Shopper,Electronics Enthusiast"
89,Boys' Watches,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
90,Boys' Shoes,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
91,Girls' Clothing,Baby & Kids Shopper,"Fashion Shopper,Photographer"
94,Girls' Accessories,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
95,Girls' Jewelry,Baby & Kids Shopper,"Fashion Shopper,Photographer"
96,Girls' Watches,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
97,Girls' Shoes,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
98,Girls' School Uniforms,Fashion Shopper,"Baby & Kids Shopper,Sports Enthusiast"
99,Travel Duffel Bags,Traveler,"Fashion Shopper,Outdoor Adventurer"
100,Messenger Bags,Fashion Shopper,"Baby & Kids Shopper,Photographer"
101,Travel Tote Bags,Traveler,"Fashion Shopper,Outdoor Adventurer"
102,Garment Bags,Fashion Shopper,"Baby & Kids Shopper,Photographer"
103,Luggage Sets,Fashion Shopper,"Baby & Kids Shopper,Outdoor Adventurer"
104,Suitcases,Fashion Shopper,"Sports Enthusiast,Baby & Kids Shopper"
105,Travel Accessories,Traveler,"Outdoor Adventurer,Fashion Shopper"
106,Rain Umbrellas,Outdoor Adventurer,"Fashion Shopper,Baby & Kids Shopper"
107,Backpacks,Baby & Kids Shopper,"Photographer,Fashion Shopper"
108,Luggage,Fashion Shopper,"Photographer,Cyclist"
109,Laptop Bags,Fashion Shopper,"Electronics Enthusiast,Baby & Kids Shopper"
110,Men's Clothing,Fashion Shopper,"Cyclist,Photographer"
112,Men's Accessories,Fashion Shopper,"Sports Enthusiast,Electronics Enthusiast"
113,Men's Watches,Cyclist,"Sports Enthusiast,Fashion Shopper"
114,Men's Shoes,Cyclist,"Fashion Shopper,Sports Enthusiast"
116,Women's Clothing,Fashion Shopper,"Photographer,Baby & Kids Shopper"
118,Women's Handbags,Fashion Shopper,"Photographer,Baby & Kids Shopper"
120,Women's Accessories,Fashion Shopper,"Beauty & Skincare Fan,Baby & Kids Shopper"
121,Women's Watches,Fashion Shopper,"Photographer,Baby & Kids Shopper"
122,Women's Shoes,Fashion Shopper,"Baby & Kids Shopper,Sports Enthusiast"
123,Women's Jewelry,Fashion Shopper,"Photographer,Baby & Kids Shopper"
124,Kids' Furniture,Baby & Kids Shopper,"Home Decorator,Fashion Shopper"
125,Gift Cards,Baby & Kids Shopper,"Car Enthusiast,Electronics Enthusiast"
126,Oral Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Music Lover"
127,Vision Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Electronics Enthusiast"
128,Wellness & Relaxation Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Home Decorator"
129,Baby & Child Care Products,Baby & Kids Shopper,"Beauty & Skincare Fan,Fashion Shopper"
130,Household Supplies,Home Decorator,"Baby & Kids Shopper,Fashion Shopper"
131,Health Care Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Fashion Shopper"
132,Diet & Sports Nutrition,Sports Enthusiast,"Cyclist,Foodie"
133,Home Use Medical Supplies & Equipment,Baby & Kids Shopper,"Beauty & Skincare Fan,Electronics Enthusiast"
134,Sexual Wellness Products,Beauty & Skincare Fan,"Fitness Buff,Baby & Kids Shopper"
135,Health & Household,Baby & Kids Shopper,"Beauty & Skincare Fan,Home Decorator"
136,Sports Nutrition Products,Sports Enthusiast,"Fitness Buff,Beauty & Skincare Fan"
137,Stationery & Gift Wrapping Supplies,Baby & Kids Shopper,"Electronics Enthusiast,Beauty & Skincare Fan"
138,Commercial Door Products,Home Decorator,"Electronics Enthusiast,Car Enthusiast"
139,Power Transmission Products,Electronics Enthusiast,Car Enthusiast
140,Industrial Materials,Electronics Enthusiast,"Car Enthusiast,Cyclist"
141,Industrial Hardware,Electronics Enthusiast,DIY Crafter
142,Abrasive & Finishing Products,Beauty & Skincare Fan,"Car Enthusiast,Baby & Kids Shopper"
143,"Industrial Adhesives, Sealants & Lubricants",Electronics Enthusiast,"Car Enthusiast,Beauty & Skincare Fan"
144,Material Handling Products,Baby & Kids Shopper,"Fashion Shopper,Electronics Enthusiast"
145,"Test, Measure & Inspect",Electronics Enthusiast,"Sports Enthusiast,Car Enthusiast"
146,Industrial Power & Hand Tools,Electronics Enthusiast,"Car Enthusiast,Cyclist"
147,"Hydraulics, Pneumatics & Plumbing",Electronics Enthusiast,"Car Enthusiast,Cyclist"
148,Filtration,Electronics Enthusiast,"Photographer,Cyclist"
149,Electronic Components,Electronics Enthusiast,"Car Enthusiast,Cyclist"
150,Lab & Scientific Products,Beauty & Skincare Fan,"Electronics Enthusiast,Baby & Kids Shopper"
151,Janitorial & Sanitation Supplies,Baby & Kids Shopper,"Beauty & Skincare Fan,Home Decorator"
152,Occupational Health & Safety Products,Baby & Kids Shopper,"Beauty & Skincare Fan,Electronics Enthusiast"
153,Cutting Tools,DIY Crafter,"Photographer,Gardener"
154,Fasteners,Electronics Enthusiast,"Car Enthusiast,Sports Enthusiast"
155,Science Education Supplies,Electronics Enthusiast,"Baby & Kids Shopper,Sports Enthusiast"
156,Food Service Equipment & Supplies,Foodie,"Sports Enthusiast,Electronics Enthusiast"
157,Additive Manufacturing Products,DIY Crafter,"Electronics Enthusiast,Beauty & Skincare Fan"
158,Professional Medical Supplies,Electronics Enthusiast,"Beauty & Skincare Fan,Fashion Shopper"
159,Professional Dental Supplies,Beauty & Skincare Fan,"Electronics Enthusiast,Home Decorator"
160,Packaging & Shipping Supplies,Baby & Kids Shopper,"Fashion Shopper,Electronics Enthusiast"
161,Retail Store Fixtures & Equipment,Baby & Kids Shopper,"Fashion Shopper,Electronics Enthusiast"
162,Industrial & Scientific,Electronics Enthusiast,"Sports Enthusiast,Cyclist"
163,Bath Products,Beauty & Skincare Fan,"Baby & Kids Shopper,Home Decorator"
164,Bedding,Baby & Kids Shopper,Home Decorator
165,Home Décor Products,Home Decorator,"Beauty & Skincare Fan,Fashion Shopper"
166,Furniture,Fashion Shopper,"Home Decorator,Photographer"
167,Household Cleaning Supplies,Home Decorator,"Baby & Kids Shopper,Beauty & Skincare Fan"
168,Seasonal Décor,Home Decorator,"Fashion Shopper,Gardener"
169,Home Lighting & Ceiling Fans,Beauty & Skincare Fan,"Home Decorator,Electronics Enthusiast"
170,Kitchen & Dining,Baby & Kids Shopper,"Foodie,Beauty & Skincare Fan"
171,"Heating, Cooling & Air Quality",Car Enthusiast,"Beauty & Skincare Fan,Electronics Enthusiast"
172,Kids' Home Store,Baby & Kids Shopper,"Home Decorator,Fashion Shopper"
173,Home Storage & Organization,Home Decorator,"Baby & Kids Shopper,Sports Enthusiast"
174,Wall Art,Home Decorator,"Photographer,Beauty & Skincare Fan"
175,Vacuum Cleaners & Floor Care,Baby & Kids Shopper,"Beauty & Skincare Fan,Home Decorator"
176,Ironing Products,Beauty & Skincare Fan,
177,Party Supplies,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
178,Pet Bird Supplies,Pet Owner,"Baby & Kids Shopper,Beauty & Skincare Fan"
179,Cat Supplies,Pet Owner,"Baby & Kids Shopper,Car Enthusiast"
180,Dog Supplies,Pet Owner,"Baby & Kids Shopper,Fashion Shopper"
181,Fish & Aquatic Pets,Pet Owner,"Baby & Kids Shopper,Sports Enthusiast"
182,Horse Supplies,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
183,Reptiles & Amphibian Supplies,Baby & Kids Shopper,"Electronics Enthusiast,Outdoor Adventurer"
184,Small Animal Supplies,Baby & Kids Shopper,"Pet Owner,Fashion Shopper"
185,Smart Home: New Smart Devices,Electronics Enthusiast,"Home Decorator,Tech Lover"
186,Smart Home: Voice Assistants and Hubs,Home Decorator,"Electronics Enthusiast,Baby & Kids Shopper"
187,Smart Home: Smart Locks and Entry,Electronics Enthusiast,"Home Decorator,Tech Lover"
188,Smart Home: Home Entertainment,Electronics Enthusiast,"Home Decorator,Sports Enthusiast"
189,Smart Home: WiFi and Networking,Electronics Enthusiast,Home Decorator
190,Smart Home: Security Cameras and Systems,Electronics Enthusiast,"Home Decorator,Photographer"
191,Smart Home: Lighting,Home Decorator,"Electronics Enthusiast,Tech Lover"
192,Smart Home: Plugs and Outlets,Electronics Enthusiast,"Home Decorator,Baby & Kids Shopper"
193,Smart Home: Vacuums and Mops,Home Decorator,"Baby & Kids Shopper,Electronics Enthusiast"
194,Smart Home Thermostats - Compatibility Checker,Electronics Enthusiast,"Tech Lover,Home Decorator"
195,Smart Home: Lawn and Garden,Gardener,"Home Decorator,Tech Lover"
196,Smart Home: Other Solutions,Electronics Enthusiast,"Home Decorator,Tech Lover"
197,Smart Home - Heating & Cooling,Home Decorator,"Electronics Enthusiast,Beauty & Skincare Fan"
198,Sports & Fitness,Sports Enthusiast,"Fitness Buff,Beauty & Skincare Fan"
199,Outdoor Recreation,Outdoor Adventurer,"Sports Enthusiast,Car Enthusiast"
200,Sports & Outdoors,Sports Enthusiast,"Outdoor Adventurer,Baby & Kids Shopper"
201,Home Appliances,Home Decorator,"Electronics Enthusiast,Beauty & Skincare Fan"
203,Pumps & Plumbing Equipment,Baby & Kids Shopper,"Electronics Enthusiast,Car Enthusiast"
204,"Paint, Wall Treatments & Supplies",Beauty & Skincare Fan,"Home Decorator,Baby & Kids Shopper"
205,Safety & Security,Baby & Kids Shopper,"Sports Enthusiast,Electronics Enthusiast"
206,Light Bulbs,Electronics Enthusiast,"Photographer,Car Enthusiast"
207,Power Tools & Hand Tools,Electronics Enthusiast,"Baby & Kids Shopper,Beauty & Skincare Fan"
208,Kitchen & Bath Fixtures,Baby & Kids Shopper,"Beauty & Skincare Fan,Home Decorator"
209,Lighting & Ceiling Fans,Beauty & Skincare Fan,"Electronics Enthusiast,Baby & Kids Shopper"
210,Electrical Equipment,Electronics Enthusiast,"Car Enthusiast,Sports Enthusiast"
211,Hardware,Electronics Enthusiast,"Gamer,Tech Lover"
212,Building Supplies,Baby & Kids Shopper,"Home Decorator,Electronics Enthusiast"
213,Measuring & Layout,Electronics Enthusiast,"Photographer,Baby & Kids Shopper"
214,Welding & Soldering,Electronics Enthusiast,"Photographer,Car Enthusiast"
215,Tools & Home Improvement,Home Decorator,"Baby & Kids Shopper,Electronics Enthusiast"
216,Kids' Party Supplies,Baby & Kids Shopper,"Sports Enthusiast,Fashion Shopper"
217,Toy Figures & Playsets,Baby & Kids Shopper,"Fashion Shopper,Electronics Enthusiast"
218,Novelty Toys & Amusements,Baby & Kids Shopper,"Car Enthusiast,Electronics Enthusiast"
219,Arts & Crafts Supplies,Baby & Kids Shopper,"DIY Crafter,Beauty & Skincare Fan"
220,Building Toys,Baby & Kids Shopper,"Electronics Enthusiast,DIY Crafter"
221,Dolls & Accessories,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
222,Kids' Electronics,Electronics Enthusiast,"Baby & Kids Shopper,Car Enthusiast"
223,Games & Accessories,Baby & Kids Shopper,"Sports Enthusiast,Gamer"
224,Learning & Education Toys,Baby & Kids Shopper,"Electronics Enthusiast,Sports Enthusiast"
225,Kids' Dress Up & Pretend Play,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
226,Puppets & Puppet Theaters,Baby & Kids Shopper,"Electronics Enthusiast,Car Enthusiast"
227,Puzzles,Photographer,"Baby & Kids Shopper,Electronics Enthusiast"
228,Sports & Outdoor Play Toys,Outdoor Adventurer,"Sports Enthusiast,Baby & Kids Shopper"
229,Stuffed Animals & Plush Toys,Baby & Kids Shopper,"Car Enthusiast,Fashion Shopper"
230,Baby & Toddler Toys,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
231,"Tricycles, Scooters & Wagons",Baby & Kids Shopper,"Cyclist,Car Enthusiast"
232,Finger Toys,Baby & Kids Shopper,"Electronics Enthusiast,Gamer"
233,Toy Vehicle Playsets,Car Enthusiast,"Baby & Kids Shopper,Electronics Enthusiast"
234,Kids' Play Trains & Trams,Baby & Kids Shopper,"Car Enthusiast,Sports Enthusiast"
235,Kids' Play Trucks,Baby & Kids Shopper,"Car Enthusiast,Sports Enthusiast"
236,Kids' Play Cars & Race Cars,Car Enthusiast,"Baby & Kids Shopper,Sports Enthusiast"
237,Kids' Play Boats,Baby & Kids Shopper,"Car Enthusiast,Sports Enthusiast"
238,Kids' Play Buses,Baby & Kids Shopper,"Car Enthusiast,Sports Enthusiast"
239,Kids' Play Tractors,Baby & Kids Shopper,"Car Enthusiast,Sports Enthusiast"
240,"Slot Cars, Race Tracks & Accessories",Car Enthusiast,"Sports Enthusiast,Electronics Enthusiast"
241,"Sony PSP Games, Consoles & Accessories",Baby & Kids Shopper,"Electronics Enthusiast,Gamer"
242,"Nintendo DS Games, Consoles & Accessories",Baby & Kids Shopper,"Electronics Enthusiast,Gamer"
243,"PlayStation 3 Games, Consoles & Accessories",Baby & Kids Shopper,"Gamer,Electronics Enthusiast"
244,"Wii Games, Consoles & Accessories",Baby & Kids Shopper,"Electronics Enthusiast,Gamer"
245,"Xbox 360 Games, Consoles & Accessories",Gamer,"Baby & Kids Shopper,Electronics Enthusiast"
248,Mac Games & Accessories,Gamer,"Electronics Enthusiast,Baby & Kids Shopper"
249,"Nintendo 3DS & 2DS Consoles, Games & Accessories",Baby & Kids Shopper,"Gamer,Electronics Enthusiast"
250,Legacy Systems,Electronics Enthusiast,
251,"PlayStation Vita Games, Consoles & Accessories",Baby & Kids Shopper,"Gamer,Electronics Enthusiast"
252,"Wii U Games, Consoles & Accessories",Baby & Kids Shopper,"Gamer,Electronics Enthusiast"
253,"PlayStation 4 Games, Consoles & Accessories",Gamer,"Baby & Kids Shopper,Electronics Enthusiast"
254,"Xbox One Games, Consoles & Accessories",Gamer,"Baby & Kids Shopper,Electronics Enthusiast"
255,Video Games,Gamer,"Electronics Enthusiast,Sports Enthusiast"
256,Online Video Game Services,Gamer,"Sports Enthusiast,Outdoor Adventurer"
259,Virtual Reality Hardware & Accessories,Electronics Enthusiast,"Beauty & Skincare Fan,Gamer"
260,"Nintendo Switch Consoles, Games & Accessories",Baby & Kids Shopper,"Electronics Enthusiast,Gamer"
261,"PlayStation 5 Consoles, Games & Accessories",Baby & Kids Shopper,"Gamer,Electronics Enthusiast"
262,"Xbox Series X & S Consoles, Games & Accessories",Baby & Kids Shopper,"Gamer,Electronics Enthusiast"
263,PC Games & Accessories,Gamer,"Electronics Enthusiast,Baby & Kids Shopper"
264,Baby Girls' Clothing & Shoes,Baby & Kids Shopper,"Fashion Shopper,Beauty & Skincare Fan"
265,Boys' School Uniforms,Baby & Kids Shopper,"Fashion Shopper,Sports Enthusiast"
270,Toys & Games,Baby & Kids Shopper,"Gamer,Sports Enthusiast"
